feature_id,name,category,aliases,first_seen_year,description,difficulty,default_rarity
FEAT-00001,ResNet,Algorithm,"ResNet-50, ResNet-101, ResNet-18, Residual Network",2015,Deep residual neural network with skip connections for computer vision.,Intermediate,0.3
FEAT-00002,YOLO,Algorithm,"YOLOv5, YOLOv8, YOLOv9, YOLOv10, You Only Look Once",2016,Real-time single-stage object detection model.,Intermediate,0.3
FEAT-00003,BERT,Algorithm,"BioBERT, ClinicalBERT, RoBERTa, DeBERTa",2018,Bidirectional Encoder Representations from Transformers for NLP.,Intermediate,0.3
FEAT-00004,GPT-4,Algorithm,"GPT4, GPT-4o, Generative Pre-trained Transformer 4",2023,Large-scale multimodal generative language model.,Advanced,0.4
FEAT-00005,LLaMA,Algorithm,"LLaMA-2, LLaMA-3, Llama3",2023,Open-weight foundational large language model by Meta.,Advanced,0.4
FEAT-00006,Stable Diffusion,Algorithm,"SDXL, Latent Diffusion, DDPM",2022,Latent text-to-image diffusion model.,Advanced,0.4
FEAT-00007,Vision Transformer,Algorithm,"ViT, Swin Transformer",2020,Transformer architecture applied directly to image patches.,Advanced,0.5
FEAT-00008,Graph Convolutional Network,Algorithm,"GCN, Graph Convolution",2016,Convolutional neural network for graph-structured data.,Advanced,0.6
FEAT-00009,Graph Attention Network,Algorithm,"GAT, Graph Attention",2017,Attention-based neural network operating on graphs.,Advanced,0.6
FEAT-00010,Mask R-CNN,Algorithm,MaskRCNN,2017,Instance segmentation model extending Faster R-CNN.,Advanced,0.4
FEAT-00011,Random Forest,Algorithm,"RandomForest, RF Classifier",2001,Ensemble learning method combining decision trees.,Beginner,0.2
FEAT-00012,XGBoost,Algorithm,"Extreme Gradient Boosting, XGB",2014,Optimized distributed gradient boosting library.,Intermediate,0.25
FEAT-00013,LightGBM,Algorithm,LGBM,2016,Gradient boosting framework that uses tree based learning algorithms.,Intermediate,0.3
FEAT-00014,CatBoost,Algorithm,Categorical Boosting,2017,Gradient boosting algorithm tailored for categorical features.,Intermediate,0.35
FEAT-00015,SVM,Algorithm,"Support Vector Machine, SVR",1995,Supervised learning model for classification and regression.,Beginner,0.2
FEAT-00016,LSTM,Algorithm,"Long Short-Term Memory, Bi-LSTM",1997,Recurrent neural network architecture for sequential data.,Intermediate,0.3
FEAT-00017,GRU,Algorithm,Gated Recurrent Unit,2014,Streamlined recurrent neural network variant.,Intermediate,0.35
FEAT-00018,Isolation Forest,Algorithm,iForest,2008,Unsupervised anomaly detection algorithm based on isolation.,Intermediate,0.4
FEAT-00019,DBSCAN,Algorithm,Density-Based Spatial Clustering,1996,Density-based spatial clustering of applications with noise.,Intermediate,0.3
FEAT-00020,k-Means,Algorithm,"KMeans, K-Means Clustering",1967,Partitioning algorithm dividing data into k clusters.,Beginner,0.2
FEAT-00021,A* Search,Algorithm,"A-Star, AStar",1968,Graph traversal and path search algorithm.,Beginner,0.25
FEAT-00022,RRT*,Algorithm,Rapidly-exploring Random Tree Star,2011,Sampling-based optimal motion planning algorithm for robotics.,Advanced,0.6
FEAT-00023,AlphaFold,Algorithm,"AlphaFold2, AlphaFold3",2020,Deep learning system for predicting 3D protein structures.,Expert,0.8
FEAT-00024,Whisper,Algorithm,OpenAI Whisper,2022,Automatic speech recognition and translation model.,Intermediate,0.35
FEAT-00025,NeRF,Algorithm,"Neural Radiance Field, Instant NGP",2020,Implicit neural representation for novel view 3D synthesis.,Expert,0.75
FEAT-00026,3D Gaussian Splatting,Algorithm,"Gaussian Splatting, 3DGS",2023,Real-time radiance field rendering technique using 3D Gaussians.,Expert,0.85
FEAT-00027,PPO,Algorithm,Proximal Policy Optimization,2017,Policy gradient reinforcement learning algorithm.,Advanced,0.5
FEAT-00028,DQN,Algorithm,"Deep Q-Network, Deep Q Learning",2013,Deep reinforcement learning algorithm combining Q-learning with neural networks.,Advanced,0.45
FEAT-00029,SimCLR,Algorithm,Simple Framework for Contrastive Learning,2020,Self-supervised contrastive learning framework for visual representations.,Advanced,0.6
FEAT-00030,LoRA,Algorithm,"Low-Rank Adaptation, QLoRA",2021,Parameter-efficient fine-tuning method for large models.,Advanced,0.4
FEAT-00031,FAST-RP,Algorithm,Fast Random Projection,2019,Scalable graph node embedding algorithm.,Advanced,0.65
FEAT-00032,Node2Vec,Algorithm,node2vec,2016,Algorithmic framework for learning continuous feature representations for nodes in graphs.,Advanced,0.55
FEAT-00033,Adamic-Adar Index,Algorithm,Adamic Adar,2003,Link prediction measure based on common neighbors in graph networks.,Intermediate,0.5
