id,feature_name,category,domain,technology,difficulty,innovation_score,description,typical_use_case,source
KB00001,Face Recognition,Computer Vision,AI/ML,OpenCV / face_recognition,Medium,5,Identifies or verifies a person from a face image.,Attendance system using webcam,manual
KB00002,Face Detection,Computer Vision,AI/ML,OpenCV Haar Cascades / MTCNN,Low,3,Locates faces in an image without identifying who they are.,Photo-tagging preprocessing step,manual
KB00003,Object Detection,Computer Vision,AI/ML,YOLOv8 / PyTorch,Medium,6,Detects and localizes multiple objects in an image in real time.,Vehicle/person counting system,manual
KB00004,Image Classification,Computer Vision,AI/ML,CNN / TensorFlow / Keras,Low,3,Assigns a single label to an entire image.,Classifying plant leaf diseases,manual
KB00005,Semantic Segmentation,Computer Vision,AI/ML,U-Net / DeepLab,High,8,Labels every pixel of an image with a class.,Medical scan tumor boundary marking,manual
KB00006,Optical Character Recognition,Computer Vision,AI/ML,Tesseract / EasyOCR,Low,3,Extracts text from images or scanned documents.,Digitizing handwritten notes,manual
KB00007,License Plate Recognition,Computer Vision,AI/ML,OpenCV + OCR,Medium,5,Detects and reads vehicle number plates from images/video.,Automated toll/parking system,manual
KB00008,Gesture Recognition,Computer Vision,AI/ML,MediaPipe / OpenCV,Medium,6,Recognizes hand or body gestures from video input.,Touchless appliance control,manual
KB00009,Pose Estimation,Computer Vision,AI/ML,MediaPipe Pose / OpenPose,Medium,6,Detects human body joint positions from images/video.,Exercise form correction app,manual
KB00010,Facial Emotion Recognition,Computer Vision,AI/ML,CNN / DeepFace,Medium,6,Classifies emotional expression from a face image.,Classroom engagement monitoring,manual
KB00011,Image Captioning,Computer Vision,AI/ML,CNN-LSTM / Vision Transformer,High,7,Generates a natural-language description of an image.,Assistive tool for visually impaired users,manual
KB00012,GAN-based Image Generation,Computer Vision,AI/ML,GAN / StyleGAN,High,8,"Generates new, realistic images from learned data patterns.",Synthetic face/dataset generation,manual
KB00013,Image Super-Resolution,Computer Vision,AI/ML,SRGAN / ESRGAN,High,7,Upscales low-resolution images while preserving detail.,Enhancing old/low-quality photos,manual
KB00014,Deepfake Detection,Computer Vision,Cybersecurity,CNN / XceptionNet,High,8,Detects AI-manipulated video/image content.,Media authenticity verification tool,manual
KB00015,QR/Barcode Scanning,Computer Vision,Web/App,ZXing / OpenCV,Low,2,Reads QR codes or barcodes from an image feed.,Inventory or ticket-scanning app,manual
KB00016,Video Action Recognition,Computer Vision,AI/ML,3D-CNN / LSTM,High,7,Classifies human actions occurring across video frames.,Sports analytics / surveillance alerting,manual
KB00017,Crowd Counting,Computer Vision,Smart Systems,CNN density estimation,High,7,Estimates the number of people in an image/video of a crowd.,Public safety crowd monitoring,manual
KB00018,Sign Language Recognition,Computer Vision,AI/ML,CNN / MediaPipe,High,8,Translates hand-sign gestures into text or speech.,Accessibility tool for deaf/mute users,manual
